"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037231220","Census Tract 2312.20, Los Angeles County, California",4653,3189,"H_Other",1,"4501-6000"
"06037231300","Census Tract 2313, Los Angeles County, California",5754,4079,"H_Other",1,"4501-6000"
"06037231400","Census Tract 2314, Los Angeles County, California",4745,3103,"H_Other",1,"4501-6000"
"06037231600","Census Tract 2316, Los Angeles County, California",7420,4650,"H_Other",1,"6001-7500"
"06037232300","Census Tract 2323, Los Angeles County, California",6006,4464,"H_Other",1,"6001-7500"
"06037232500","Census Tract 2325, Los Angeles County, California",4940,3272,"H_Other",1,"4501-6000"
"06037232600","Census Tract 2326, Los Angeles County, California",6833,5300,"H_Other",1,"6001-7500"
"06037237101","Census Tract 2371.01, Los Angeles County, California",4409,3091,"H_Other",1,"3001-4500"
"06037237102","Census Tract 2371.02, Los Angeles County, California",3407,2753,"H_Other",1,"3001-4500"
"06037237201","Census Tract 2372.01, Los Angeles County, California",3814,2662,"H_Other",1,"3001-4500"
"06037237202","Census Tract 2372.02, Los Angeles County, California",4556,2918,"H_Other",1,"4501-6000"
"06037237401","Census Tract 2374.01, Los Angeles County, California",4217,3143,"H_Other",1,"3001-4500"
"06037237500","Census Tract 2375, Los Angeles County, California",2922,2212,"H_Other",1,"1500-3000"
"06037237600","Census Tract 2376, Los Angeles County, California",4101,3039,"H_Other",1,"3001-4500"
"06037237710","Census Tract 2377.10, Los Angeles County, California",4410,3530,"H_Other",1,"3001-4500"
"06037237720","Census Tract 2377.20, Los Angeles County, California",3707,2701,"H_Other",1,"3001-4500"
"06037238310","Census Tract 2383.10, Los Angeles County, California",5002,3723,"H_Other",1,"4501-6000"
"06037238320","Census Tract 2383.20, Los Angeles County, California",3804,2479,"H_Other",1,"3001-4500"
"06037239201","Census Tract 2392.01, Los Angeles County, California",3753,3145,"H_Other",1,"3001-4500"
"06037239202","Census Tract 2392.02, Los Angeles County, California",5999,5495,"H_Other",1,"4501-6000"
"06037239310","Census Tract 2393.10, Los Angeles County, California",4501,3960,"H_Other",1,"4501-6000"
"06037239320","Census Tract 2393.20, Los Angeles County, California",4086,3451,"H_Other",1,"3001-4500"
"06037239330","Census Tract 2393.30, Los Angeles County, California",2458,2130,"H_Other",1,"1500-3000"
"06037239502","Census Tract 2395.02, Los Angeles County, California",4016,3139,"H_Other",1,"3001-4500"
"06037239601","Census Tract 2396.01, Los Angeles County, California",3682,2904,"H_Other",1,"3001-4500"
"06037239602","Census Tract 2396.02, Los Angeles County, California",4016,3192,"H_Other",1,"3001-4500"
"06037239701","Census Tract 2397.01, Los Angeles County, California",5134,4302,"H_Other",1,"4501-6000"
"06037239702","Census Tract 2397.02, Los Angeles County, California",4334,3036,"H_Other",1,"3001-4500"
"06037239801","Census Tract 2398.01, Los Angeles County, California",3705,2915,"H_Other",1,"3001-4500"
"06037239802","Census Tract 2398.02, Los Angeles County, California",5461,3828,"H_Other",1,"4501-6000"
"06037240010","Census Tract 2400.10, Los Angeles County, California",3737,2770,"H_Other",1,"3001-4500"
"06037240200","Census Tract 2402, Los Angeles County, California",5159,3863,"H_Other",1,"4501-6000"
"06037240402","Census Tract 2404.02, Los Angeles County, California",3763,2412,"H_Other",1,"3001-4500"
"06037240600","Census Tract 2406, Los Angeles County, California",6167,4273,"H_Other",1,"6001-7500"
"06037242000","Census Tract 2420, Los Angeles County, California",4189,3183,"H_Other",1,"3001-4500"
"06037242200","Census Tract 2422, Los Angeles County, California",6402,4844,"H_Other",1,"6001-7500"
"06037242300","Census Tract 2423, Los Angeles County, California",4952,3663,"H_Other",1,"4501-6000"
"06037242600","Census Tract 2426, Los Angeles County, California",4756,3044,"H_Other",1,"4501-6000"
"06037243000","Census Tract 2430, Los Angeles County, California",6829,5672,"H_Other",1,"6001-7500"
"06037291120","Census Tract 2911.20, Los Angeles County, California",2407,1555,"H_Other",1,"1500-3000"
